,train_loss,train_f1,valid_loss,valid_f1,epochs
0,0.0010109251031555518,0.41067257817582864,0.0010216979382866045,0.5276693144394936,1
1,0.000315852111977324,0.6879057180446843,0.0007234077540763676,0.6580628995192735,2
2,0.00023559102878817164,0.7770847217664532,0.0005077030266545148,0.6047770016440057,3
3,0.00018644480788086544,0.8081603402093557,0.00031875076244145087,0.7108867000326436,4
4,0.0001542665744491045,0.8450720567310702,0.0003857954986412905,0.755832153258179,5
5,0.0001316563149290669,0.8680610132900652,0.00030225138751396,0.7264791455761804,6
6,0.00011711035289169058,0.8873843451840489,0.00030962695652137536,0.7721068513047135,7
7,0.00010365896939888812,0.8954285411530272,0.0002896642871687369,0.7425402348880551,8
8,9.35309126620911e-05,0.9102264479166599,0.0002822972464499212,0.7860463210568804,9
9,8.447174616795351e-05,0.9178995648485353,0.00030592437201318166,0.8179756820065701,10
10,8.16981101512473e-05,0.9262971132059578,0.0004710582155471682,0.8471212245776821,11
11,7.483579166816391e-05,0.9345033868614074,0.00041641099645948283,0.7499798220166494,12
