,train_loss,train_f1,valid_loss,valid_f1,epochs
0,0.004611197942930398,0.6414783838851064,0.013490896592495413,0.5649699379694855,1
1,0.0023911171877354647,0.7209766208866446,0.3162369632965207,0.5254562971063017,2
2,0.0018063887965668142,0.7757122789812332,0.01567883106154042,0.5844897401132487,3
3,0.001464277413114756,0.8211906789255287,0.2820241882910772,0.43816304871837997,4
4,0.0011989439120347202,0.8512502333322759,0.028635132376362348,0.6555242222604918,5
5,0.0010180827305556915,0.8756071288414485,0.03496902969704732,0.7029548001913938,6
6,0.0008447636715246293,0.8956608664396695,0.36121601372064815,0.45516017928267233,7
7,0.0007727870890783317,0.905043119874323,0.17493930113083223,0.6365293772891164,8
8,0.0006583754386515531,0.9181816701682286,3.545455638090886,0.5009547937915061,9
9,0.0006024119089321771,0.924763519065867,0.6010049485058885,0.6329134272297102,10
10,0.0005292527275958767,0.9336125921981989,11.495504575990802,0.5082718388041662,11
11,0.0004669767908677328,0.9413358564532984,1.0560537823055833,0.5680933584215049,12
