,Training_loss,Training_f1,Validation_loss,Validation_f1
BCE,"[0.004699222364751139, 0.0022773708477404997, 0.0017491245396368952, 0.0013986956477113806, 0.001185184568266915, 0.0010150247220196296]","[0.6246252690088426, 0.7298426765400469, 0.7826985807679968, 0.8281296259292181, 0.8535699290796906, 0.8745680751659213]","[0.00790483711819151, 0.006646246176440842, 0.38972251830286986, 0.21346029977858028, 1.0980594971698037, 0.39503714063245393]","[0.5084492, 0.5532187, 0.5030903, 0.5387434, 0.45497292, 0.542142]"
MSE,"[0.001203029814323667, 0.0005873394510504609, 0.0004831031305910547, 0.00039646097737431447, 0.0003347443744718076, 0.00029488092401628566]","[0.5406057478694406, 0.6589635639085094, 0.7329918996907603, 0.7707178256256049, 0.8079092800967513, 0.8355263348343331]","[0.001933022404219027, 0.003543093265378109, 0.00457290328144553, 0.0017361987620636281, 0.001911995658610264, 0.002035377793126689]","[0.5292858533094352, 0.3619199096588734, 0.44776789232153524, 0.6281427510063269, 0.6484532986023505, 0.5786151136714216]"
DICE Loss,"[0.0008251862720859663, 0.0003120786483284386, 0.00028402309154925494, 0.000222840227563247, 0.00018700350509450253, 0.00017535990860375938]","[0.4922391668214107, 0.6755809007755963, 0.7303991243237136, 0.7625704657819632, 0.8069136322575585, 0.845340819349465]","[0.0010050103496322433, 0.0007649891681521741, 0.002618666417293698, 0.023536341401989094, 0.022719529465657924, 0.0504942160984866]","[0.5129435624387456, 0.5492914955576702, 0.5191221163931999, 0.4844943965766512, 0.5166607638116435, 0.5115391893588783]"
Asymmetric Loss,"[0.002188809090778526, 0.0010094747463339632, 0.0007451529421780424, 0.0005603329092123018, 0.0004837959896692667, 0.0003975265742959115]","[0.30493005197678597, 0.39900194786712234, 0.45971617548092897, 0.5181605072900944, 0.5522057060001319, 0.5952445789139287]","[0.11335117005610561, 0.027925753944134584, 0.005783734459841992, 0.1315691083669558, 0.2768937671527281, 0.13774917708799808]","[0.12093554777883518, 0.22726117471023585, 0.32635625797790757, 0.4179577418566072, 0.2588246089324395, 0.3197717916825452]"
